,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Multiplier
1,LeBron James,LeBron James,LeBron James,LeBron James,Stephen Curry,1.25
2,Luka Doncic,Giannis Antetokounmpo,James Harden,Stephen Curry,Jayson Tatum,1.239285714
3,Anthony Davis,Kevin Durant,Stephen Curry,Jayson Tatum,LeBron James,1.228571429
4,Jayson Tatum,Luka Dončić,Kevin Durant,Giannis Antetokounmpo,Victor Wembanyama,1.217857143
5,Giannis Antetokounmpo,Jayson Tatum,Jayson Tatum,Luka Doncic,Giannis Antetokounmpo,1.207142857
6,Stephen Curry,Devin Booker,Joel Embiid,Kevin Durant,Luka Doncic,1.196428571
7,Kevin Durant,Stephen Curry,Giannis Antetokounmpo,Devin Booker,Devin Booker,1.185714286
8,Damian Lillard,Kyrie Irving,Luka Doncic,Ja Morant,Kevin Durant,1.175
9,Kawhi Leonard,James Harden,Ja Morant,Damian Lillard,Tyrese Maxey,1.164285714
10,Jimmy Butler,Damian Lillard,Kyrie Irving,Kyrie Irving,Damian Lillard,1.153571429
11,Kemba Walker,Trae Young,Trae Young,LaMelo Ball,Ja Morant,1.142857143
12,Kyrie Irving,Joel Embiid,Klay Thompson,Nikola Jokic,Joel Embiid,1.132142857
13,Russell Westbrook,Anthony Davis,Devin Booker,Joel Embiid,LaMelo Ball,1.121428571
14,Nikola Jokic,Ja Morant,LaMelo Ball,Jaylen Brown,Nikola Jokic,1.110714286
15,Ja Morant,Kawhi Leonard,Nikola Jokic,Jordan Poole,De'Aaron Fox,1.1
