Player_ID,Player,Team,Pos,Age,G,GS,MPG,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG_percent,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total_MP,PER,TS_percent,3PAr,FTr,ORB_percent,DRB_percent,TRB_percent,AST_percent,STL_percent,BLK_percent,TOV_percent,USG_percent,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,p_G,p_GS,p_MPG,p_FG,p_FGA,p_FG_percent,p_3P,p_3PA,p_3P_percent,p_2P,p_2PA,p_2P_percent,p_eFG_percent,p_FT,p_FTA,p_FT_percent,p_ORB,p_DRB,p_TRB,p_AST,p_STL,p_BLK,p_TOV,p_PF,p_PTS,Jerseys_Multiplier,Salary,Injury_Days,Valuation_Multiplier,season
2023_A.J. Green,A.J. Green,MIL,SG,23,35,1,9.9,1.5,3.6,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,345.0,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969652252598294,2023
2024_A.J. Green,A.J. Green,MIL,SG,24,56,0,11.0,1.5,3.5,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,614.0,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,6.0,0.0,11.2,1.0,2.7,0.375,0.3,1.8,0.182,0.7,0.8,0.8,0.438,0.5,0.5,1.0,0.0,1.5,1.5,0.3,0.0,0.0,0.2,1.5,2.8,,,,0.969652252598294,2024
2023_A.J. Lawson,A.J. Lawson,2TM,SG,22,15,0,7.2,1.5,2.9,0.7,1.7,0.4,0.8,1.3,0.632,0.614,0.1,0.5,0.25,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.7,108.0,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
2024_A.J. Lawson,A.J. Lawson,DAL,SG,23,42,0,7.4,1.3,2.9,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,311.0,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,10.0,0.0,3.0,0.4,0.9,0.444,0.2,0.6,0.333,0.2,0.3,0.667,0.556,0.1,0.2,0.5,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1,1.1,,,,1.02063646823316,2024
2023_AJ Griffin,AJ Griffin,ATL,SF,19,72,12,19.5,3.4,7.4,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,1401.0,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3823245.0,,0.955085333845476,2023
2024_AJ Griffin,AJ Griffin,ATL,SF,20,20,0,8.6,0.9,3.1,0.5,2.0,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,171.0,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955085333845476,2024
2019_Aaron Gordon,Aaron Gordon,ORL,PF,23,78,78,33.8,6.0,13.4,1.6,4.4,0.349,4.5,9.0,0.499,0.507,2.4,3.2,0.731,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0,2633.0,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,5.0,5.0,32.8,5.8,12.4,0.468,1.6,4.0,0.4,4.2,8.4,0.5,0.532,2.0,3.8,0.526,2.2,5.0,7.2,3.6,1.2,0.2,2.6,3.2,15.2,,24363960.0,443,0.91138457758702,2019
2020_Aaron Gordon,Aaron Gordon,ORL,PF,24,62,62,32.5,5.4,12.4,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,2017.0,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22102631.0,443,0.91138457758702,2020
2021_Aaron Gordon,Aaron Gordon,2TM,PF,25,50,50,27.7,4.6,10.0,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3.0,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,1384.0,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,10.0,10.0,29.9,4.3,9.9,0.434,0.9,2.3,0.391,3.4,7.6,0.447,0.48,1.6,2.5,0.64,2.1,3.3,5.4,2.0,0.5,0.3,1.4,2.3,11.1,,18974611.0,443,,2021
2022_Aaron Gordon,Aaron Gordon,DEN,PF,26,75,75,31.7,5.8,11.1,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,2376.0,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,5.0,5.0,32.0,4.6,10.8,0.426,0.6,3.0,0.2,4.0,7.8,0.513,0.454,4.0,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,,21938322.0,443,0.962368793221885,2022
