,Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019,Steven Adams,C,25.0,OKC,5.0,5.0,31.8,5.6,8.4,0.667,0.0,0.2,0.0,5.6,8.2,0.683,0.667,0.6,1.6,0.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8
1,2019,LaMarcus Aldridge,C,33.0,SAS,7.0,7.0,34.9,7.9,17.3,0.455,0.4,1.6,0.273,7.4,15.7,0.473,0.467,3.9,4.7,0.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0
2,2019,Grayson Allen,SG,23.0,UTA,2.0,0.0,7.0,1.0,3.5,0.286,0.0,1.5,0.0,1.0,2.0,0.5,0.286,2.5,3.5,0.714,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5
3,2019,Jarrett Allen,C,20.0,BRK,5.0,5.0,22.0,3.8,6.4,0.594,0.0,0.0,,3.8,6.4,0.594,0.594,3.4,4.0,0.85,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0
4,2019,Al-Farouq Aminu,PF,28.0,POR,16.0,16.0,24.9,2.4,6.8,0.349,0.9,3.2,0.294,1.4,3.6,0.397,0.417,1.7,2.3,0.75,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4
5,2019,Giannis Antetokounmpo,PF,24.0,MIL,15.0,15.0,34.3,8.6,17.4,0.494,1.2,3.7,0.327,7.4,13.7,0.539,0.529,7.1,11.2,0.637,2.4,9.8,12.2,4.9,1.2,2.0,3.3,3.2,25.5
6,2019,D.J. Augustin,PG,31.0,ORL,5.0,5.0,28.2,4.0,8.2,0.488,2.0,4.2,0.476,2.0,4.0,0.5,0.61,2.8,3.2,0.875,0.2,1.4,1.6,3.8,0.4,0.2,1.4,1.4,12.8
7,2019,Will Barton,SF,28.0,DEN,14.0,3.0,23.4,3.4,9.6,0.348,1.1,3.9,0.273,2.3,5.7,0.4,0.404,1.3,1.9,0.692,1.1,3.7,4.8,1.7,0.3,0.6,1.0,1.4,9.1
8,2019,Aron Baynes,C,32.0,BOS,9.0,5.0,12.8,0.9,1.6,0.571,0.2,0.7,0.333,0.7,0.9,0.75,0.643,0.1,0.2,0.5,0.7,2.1,2.8,0.3,0.3,0.2,0.6,2.2,2.1
9,2019,Malik Beasley,SG,22.0,DEN,14.0,0.0,20.1,2.6,6.6,0.387,1.4,3.4,0.404,1.2,3.3,0.37,0.489,1.6,2.2,0.71,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1
10,2019,Marco Belinelli,SG,32.0,SAS,7.0,0.0,18.7,2.0,5.4,0.368,1.1,3.0,0.381,0.9,2.4,0.353,0.474,0.7,0.9,0.833,0.0,1.9,1.9,1.1,0.0,0.3,0.3,1.0,5.9
11,2019,Jordan Bell,C,24.0,GSW,15.0,2.0,7.1,1.1,2.1,0.548,0.0,0.0,,1.1,2.1,0.548,0.548,0.5,0.7,0.7,0.5,0.8,1.3,0.7,0.3,0.5,0.1,0.9,2.7
12,2019,Dāvis Bertāns,PF,26.0,SAS,5.0,0.0,15.8,1.0,3.0,0.333,0.6,2.2,0.273,0.4,0.8,0.5,0.433,0.6,1.0,0.6,0.0,1.6,1.6,1.0,0.0,0.2,0.2,2.0,3.2
13,2019,Patrick Beverley,PG,30.0,LAC,6.0,6.0,32.5,3.3,7.8,0.426,2.2,5.0,0.433,1.2,2.8,0.412,0.564,1.0,1.3,0.75,1.3,6.7,8.0,4.7,1.0,1.0,1.7,3.5,9.8
14,2019,Khem Birch,C,26.0,ORL,5.0,0.0,18.4,2.0,3.6,0.556,0.0,0.0,,2.0,3.6,0.556,0.556,1.2,1.4,0.857,1.8,4.4,6.2,0.8,0.2,1.0,1.2,1.6,5.2
15,2019,Eric Bledsoe,PG,29.0,MIL,15.0,15.0,28.2,5.1,12.3,0.411,1.1,4.8,0.236,3.9,7.5,0.522,0.457,2.4,3.4,0.706,1.3,2.4,3.7,4.3,1.1,0.4,2.1,1.9,13.7
16,2019,Bojan Bogdanović,SF,29.0,IND,4.0,4.0,37.0,6.3,15.8,0.397,1.8,5.5,0.318,4.5,10.3,0.439,0.452,3.8,4.3,0.882,0.8,5.0,5.8,2.8,2.0,0.0,1.5,1.8,18.0
17,2019,Andrew Bogut,C,34.0,GSW,19.0,6.0,9.4,1.3,1.9,0.649,0.0,0.0,,1.3,1.9,0.649,0.649,0.2,0.3,0.8,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7
18,2019,Jonah Bolden,PF,23.0,PHI,10.0,0.0,7.9,0.5,1.9,0.263,0.4,1.6,0.25,0.1,0.3,0.333,0.368,0.2,0.4,0.5,0.4,1.0,1.4,0.3,0.2,0.1,0.9,1.2,1.6
19,2019,Chris Boucher,PF,26.0,TOR,2.0,0.0,2.0,1.0,2.5,0.4,0.5,1.5,0.333,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5
20,2019,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,2019,Malcolm Brogdon,SG,26.0,MIL,7.0,2.0,28.3,5.0,11.1,0.449,2.0,5.3,0.378,3.0,5.9,0.512,0.538,1.0,1.6,0.636,0.9,4.0,4.9,3.4,0.7,0.1,1.4,2.3,13.0
22,2019,Bruce Brown,SG,22.0,DET,4.0,2.0,14.3,1.3,3.5,0.357,0.3,1.3,0.2,1.0,2.3,0.444,0.393,0.5,0.5,1.0,0.3,1.8,2.0,0.5,0.5,0.3,0.5,2.0,3.3
23,2019,Jaylen Brown,SG,22.0,BOS,9.0,9.0,30.4,4.9,9.7,0.506,1.6,4.4,0.35,3.3,5.2,0.638,0.586,2.6,3.3,0.767,0.7,5.1,5.8,1.1,0.7,0.2,1.8,3.3,13.9
24,2019,Sterling Brown,SG,23.0,MIL,11.0,5.0,14.7,1.4,3.5,0.395,0.6,1.9,0.333,0.7,1.5,0.471,0.487,0.7,1.0,0.727,0.4,2.4,2.7,1.7,0.5,0.3,0.7,1.5,4.1
25,2019,Deonte Burton,SG,25.0,OKC,3.0,0.0,1.3,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7
26,2019,Jimmy Butler,SF,29.0,PHI,12.0,12.0,35.1,6.6,14.6,0.451,1.0,3.8,0.267,5.6,10.8,0.515,0.486,5.3,6.0,0.875,1.8,4.2,6.0,5.2,1.5,0.6,1.8,1.7,19.4
27,2019,José Calderón,PG,37.0,DET,3.0,0.0,3.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.7,0.3,0.0,0.0,0.0,0.0
28,2019,Clint Capela,C,24.0,HOU,11.0,11.0,30.1,4.2,7.5,0.561,0.0,0.0,,4.2,7.5,0.561,0.561,1.4,3.2,0.429,3.7,6.5,10.3,1.5,0.3,1.1,1.5,2.4,9.7
29,2019,DeMarre Carroll,PF,32.0,BRK,5.0,3.0,23.8,1.8,7.6,0.237,1.4,4.8,0.292,0.4,2.8,0.143,0.329,1.6,1.6,1.0,1.2,2.8,4.0,0.4,0.8,0.0,0.6,1.6,6.6
30,2019,Michael Carter-Williams,PG,27.0,ORL,5.0,0.0,18.4,2.4,6.2,0.387,0.4,1.6,0.25,2.0,4.6,0.435,0.419,1.4,1.6,0.875,0.4,3.6,4.0,2.4,0.6,0.0,1.6,2.4,6.6
31,2019,Wilson Chandler,SF,31.0,LAC,4.0,0.0,13.0,1.3,4.0,0.313,0.3,2.5,0.1,1.0,1.5,0.667,0.344,1.0,1.0,1.0,0.0,1.5,1.5,0.5,0.5,0.0,0.8,1.8,3.8
32,2019,Gary Clark,PF,24.0,HOU,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
33,2019,Zach Collins,C,21.0,POR,16.0,0.0,17.2,2.6,5.1,0.506,0.4,1.3,0.333,2.1,3.8,0.567,0.549,1.3,1.6,0.8,1.1,2.6,3.6,0.9,0.4,1.3,1.3,3.4,6.8
34,2019,Darren Collison,PG,31.0,IND,4.0,4.0,29.3,4.8,11.3,0.422,1.0,2.8,0.364,3.8,8.5,0.441,0.467,1.5,1.5,1.0,1.0,2.0,3.0,4.0,0.5,0.0,2.5,2.8,12.0
35,2019,Pat Connaughton,SG,26.0,MIL,15.0,0.0,21.6,2.5,5.1,0.481,1.0,2.8,0.357,1.5,2.3,0.629,0.578,0.3,0.5,0.5,0.7,5.5,6.2,1.4,0.4,0.9,0.6,0.9,6.2
36,2019,Quinn Cook,PG,25.0,GSW,17.0,0.0,11.4,1.6,4.1,0.4,0.6,2.0,0.324,1.0,2.1,0.472,0.479,0.2,0.2,1.0,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2
37,2019,DeMarcus Cousins,C,28.0,GSW,8.0,5.0,16.6,2.6,6.6,0.396,0.4,1.5,0.25,2.3,5.1,0.439,0.425,2.0,3.1,0.64,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6
38,2019,Torrey Craig,SF,28.0,DEN,14.0,11.0,23.6,2.4,4.9,0.478,1.2,2.6,0.472,1.1,2.4,0.485,0.601,0.6,1.1,0.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6
39,2019,Jae Crowder,SF,28.0,UTA,5.0,3.0,26.0,3.4,9.2,0.37,1.8,6.0,0.3,1.6,3.2,0.5,0.467,2.8,3.8,0.737,0.8,5.0,5.8,0.8,1.0,0.0,0.2,1.4,11.4
40,2019,Dante Cunningham,PF,31.0,SAS,5.0,0.0,2.6,0.4,0.6,0.667,0.4,0.4,1.0,0.0,0.2,0.0,1.0,0.0,0.0,,0.4,0.8,1.2,0.0,0.0,0.0,0.0,0.0,1.2
41,2019,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,2019,Seth Curry,SG,28.0,POR,16.0,0.0,20.4,1.9,5.1,0.366,1.3,3.3,0.404,0.6,1.9,0.3,0.494,0.6,0.7,0.818,0.3,1.3,1.6,0.8,0.8,0.3,0.4,1.7,5.6
