,Date,Team,Acquired,Relinquished,Notes
0,2019-05-08,Bucks, Malcolm Brogdon,,returned to lineup
1,2019-05-09,Warriors,, Kevin Durant,strained right calf (DTD)
2,2019-05-10,Bucks,, Pau Gasol,surgery on left foot (out for season)
3,2019-05-10,Rockets, Danuel House Jr.,,returned to lineup
4,2019-05-17,Bucks, D.J. Wilson,,returned to lineup
5,2019-05-19,Bucks,, D.J. Wilson,sore left ankle (DTD)
6,2019-05-21,Bucks, D.J. Wilson,,returned to lineup
7,2019-06-03,Warriors,, Kevon Looney,fractured collarbone (out indefinitely)
8,2019-06-05,Warriors,, Klay Thompson,strained left hamstring (DTD)
9,2019-06-07,Warriors, Klay Thompson,,returned to lineup
10,2019-06-12,Warriors,, Kevin Durant,torn right Achilles tendon (out for season)
11,2019-06-14,Warriors,, Klay Thompson,torn ACL in left knee (out for season)
12,2019-07-03,Warriors,, Klay Thompson,surgery on left knee to repair torn ACL (out indefinitely)
13,2019-09-28,Cavaliers,, Dylan Windler,stress reaction in left leg (out for season)
14,2019-10-11,Bucks,, Eric Bledsoe,rib injury (out indefinitely)
15,2019-10-13,Rockets,, Gerald Green (b. 1986-01-26),left foot injury (out indefinitely)
16,2019-10-17,Cavaliers,, Ante Zizic,left foot injury (out indefinitely)
17,2019-10-18,Pelicans,, Zion Williamson,torn meniscus in right knee (out indefinitely)
18,2019-10-21,Clippers,, Amir Coffey,sprained right ankle (DTD)
19,2019-10-21,Clippers,, Rodney McGruder,sprained right ankle (DTD)
20,2019-10-21,Lakers,, Kyle Kuzma,stress reaction in left ankle/foot (out indefinitely)
21,2019-10-21,Pelicans,, Darius Miller,torn right Achilles tendon (out for season)
22,2019-10-21,Pelicans,, Zion Williamson,surgery on right knee to repair torn meniscus (out indefinitely)
23,2019-10-22,Blazers,, Pau Gasol,left foot injury (DTD)
24,2019-10-22,Bulls,, Chandler Hutchison,strained left hamstring (DTD)
25,2019-10-22,Celtics,, Romeo Langford,sore right knee (DTD)
26,2019-10-22,Celtics,, Tacko Fall,concussion (DTD)
27,2019-10-22,Heat,, Udonis Haslem,sprained left wrist (DTD)
28,2019-10-22,Jazz,, Dante Exum,right knee injury (DTD)
29,2019-10-22,Kings,, Harry Giles III,sore left knee (DTD)
30,2019-10-22,Knicks,, Kadeem Allen,sore right knee (DTD)
31,2019-10-22,Mavericks,, Dwight Powell,strained left hamstring (DTD)
32,2019-10-22,Pistons,, Blake Griffin,left hamstring injury (out indefinitely)
33,2019-10-22,Pistons,, Sekou Doumbouya,concussion (DTD)
34,2019-10-22,Suns,, Ty Jerome,sprained right ankle (out indefinitely)
35,2019-10-22,Thunder,, Andre Roberson,left knee injury (out indefinitely)
36,2019-10-22,Wizards,, C.J. Miles,left foot injury (DTD)
37,2019-10-22,Wizards,, Troy Brown Jr.,strained left calf (DTD)
38,2019-10-23,Bulls,, Shaquille Harrison,strained left hamstring (DTD)
39,2019-10-23,Hawks,, Allen Crabbe,right knee injury (out indefinitely)
40,2019-10-23,Hawks,, Chandler Parsons,knee injury (DTD)
41,2019-10-23,Rockets,, Michael Frazier II,sprained right ankle (DTD)
42,2019-10-23,Rockets,, Nene / Nene Hilario / Maybyner Hilario,adductor injury (out indefinitely)
43,2019-10-23,Wizards,, Isaiah Thomas,left thumb injury (DTD)
44,2019-10-24,Bucks, Eric Bledsoe,,returned to lineup
45,2019-10-24,Celtics,, Enes Kanter / Enes Freedom,bruised left knee (DTD)
46,2019-10-24,Hornets,, Nicolas Batum,fractured finger (DTD)
47,2019-10-24,Kings,, Marvin Bagley III,fractured right thumb (out indefinitely)
48,2019-10-24,Warriors,, Alen Smailagic,sprained right ankle (DTD)
49,2019-10-24,Wizards,, Jordan McRae,fractured finger (out indefinitely)
50,2019-10-25,Bulls, Shaquille Harrison,,returned to lineup
51,2019-10-26,Wizards, Isaiah Thomas,,returned to lineup
52,2019-10-27,Cavaliers,, John Henson,strained right hamstring (out indefinitely)
53,2019-10-28,Hornets,, Michael Kidd-Gilchrist,migraine headache (DTD)
54,2019-10-28,Pelicans,, Derrick Favors,sore right knee (DTD)
55,2019-10-29,76ers,, Shake Milton,left knee injury (DTD)
56,2019-10-29,Heat, Udonis Haslem,,returned to lineup
57,2019-10-30,76ers,, Trey Burke,gastroenteritis (DTD)
58,2019-10-30,Hornets, Michael Kidd-Gilchrist,,returned to lineup
59,2019-10-31,Heat,, Justise Winslow,back injury (DTD)
60,2019-10-31,Pacers,, Myles Turner,sprained right ankle (out indefinitely)
61,2019-10-31,Warriors,, Stephen Curry,fractured left hand (out indefinitely)
62,2019-10-31,Clippers, Amir Coffey,,returned to lineup
63,2019-11-01,Raptors,, Patrick McCaw,left knee injury (out indefinitely)
64,2019-11-02,76ers, Trey Burke,,returned to lineup
65,2019-11-02,Blazers,, Hassan Whiteside,left knee injury (DTD)
66,2019-11-02,Blazers,, Zach Collins,surgery on left shoulder (out indefinitely)
67,2019-11-02,Jazz,, Ed Davis (Adam),fractured fibula in left leg (out indefinitely)
68,2019-11-02,Jazz,, Emmanuel Mudiay,left hamstring injury (DTD)
69,2019-11-02,Pistons,, Derrick Rose,right hamstring injury (DTD)
70,2019-11-02,Warriors,, D'Angelo Russell,sprained right ankle (DTD)
71,2019-11-02,Warriors,, Draymond Green,left index finger injury (DTD)
72,2019-11-03,Grizzlies,, Grayson Allen,sore left ankle (DTD)
73,2019-11-04,Blazers, Hassan Whiteside,,returned to lineup
74,2019-11-04,Pelicans, Derrick Favors,,returned to lineup
75,2019-11-05,Heat, Justise Winslow,,returned to lineup
76,2019-11-05,Lakers,, Avery Bradley,right leg injury (DTD)
77,2019-11-05,Celtics,, Enes Kanter / Enes Freedom,bruised left knee (DTD)
78,2019-11-05,Magic,, Melvin Frazier Jr.,bruised left shoulder (DTD)
79,2019-11-06,Raptors,, Patrick McCaw,surgery on left knee (date approximate)
80,2019-11-06,Raptors,, Patrick McCaw,arthroscopic surgery on left knee to remove benign mass
81,2019-11-06,Timberwolves,, Jordan Bell,sprained right shoulder (DTD)
82,2019-11-06,Timberwolves,, Shabazz Napier,strained right hamstring (DTD)
83,2019-11-07,76ers,, Ben Simmons,right shoulder injury (DTD)
84,2019-11-07,Heat,, Dion Waiters,stomach illness (DTD)
85,2019-11-07,Heat,, Udonis Haslem,stomach illness (DTD)
86,2019-11-07,Knicks,, Mitchell Robinson,concussion (DTD)
