,playerName,2019/20,2019/20(*),2020/21,2020/21(*),2021/22,2021/22(*),2022/23,2022/23(*),2023/24,2023/24(*)
0,Stephen Curry,"$40,231,758","$49,346,703","$43,006,362","$52,411,485","$45,780,966","$52,938,707","$48,070,014","$50,968,059","$51,915,615","$53,458,234"
1,Russell Westbrook,"$38,506,482","$47,230,546","$41,358,814","$50,403,633","$44,211,146","$51,123,449","$47,080,179","$49,918,548","$3,835,738","$3,949,713"
2,Chris Paul,"$38,506,482","$47,230,546","$41,358,814","$50,403,633","$30,800,000","$35,615,504","$28,400,000","$30,112,179","$30,800,000","$31,715,190"
3,James Harden,"$38,199,000","$46,853,401","$41,254,920","$50,277,018","$44,310,840","$51,238,730","$33,000,000","$34,989,504","$35,680,595","$36,740,807"
4,John Wall,"$38,199,000","$46,853,401","$41,254,920","$50,277,018","$44,310,840","$51,238,730","$47,345,760","$50,200,141",,
5,LeBron James,"$37,436,858","$45,918,587","$39,219,566","$47,796,549","$41,180,544","$47,619,020","$44,474,988","$47,156,296","$47,607,350","$49,021,953"
6,Kevin Durant,"$37,199,000","$45,626,840","$40,108,950","$48,880,434","$42,018,900","$48,588,451","$44,119,845","$46,779,742","$47,649,433","$49,065,286"
7,Blake Griffin,"$34,449,964","$42,254,980","$33,900,241","$41,313,933","$32,405,817","$37,472,385","$2,905,851","$3,081,038",,
8,Kyle Lowry,"$33,296,296","$40,839,936","$30,500,000","$37,170,089","$26,984,128","$31,203,029","$28,333,334","$30,041,494","$29,682,540","$30,564,525"
9,Paul George,"$33,005,556","$40,483,325","$35,450,412","$43,203,114","$39,344,970","$45,496,459","$42,492,492","$45,054,279","$45,640,084","$46,996,232"
10,Kemba Walker,"$32,742,000","$40,160,058","$34,379,100","$41,897,515","$34,967,442","$40,434,514","$37,281,261","$39,528,872",,
11,Klay Thompson,"$32,742,000","$40,160,058","$35,361,360","$43,094,587","$37,980,720","$43,918,911","$40,600,080","$43,047,777","$43,219,440","$44,503,661"
12,Kawhi Leonard,"$32,742,000","$40,160,058","$34,379,100","$41,897,515","$39,344,900","$45,496,378","$42,492,492","$45,054,279","$45,640,084","$46,996,232"
13,Jimmy Butler,"$32,742,000","$40,160,058","$34,379,100","$41,897,515","$36,016,200","$41,647,244","$37,653,300","$39,923,342","$45,183,960","$46,526,554"
14,Tobias Harris,"$32,742,000","$40,160,058","$34,358,850","$41,872,836","$35,995,950","$41,623,828","$37,633,050","$39,901,871","$39,270,150","$40,437,022"
15,Gordon Hayward,"$32,700,690","$40,109,389","$28,500,000","$34,732,706","$29,925,000","$34,603,699","$30,075,000","$31,888,161","$33,319,397","$34,309,448"
16,Mike Conley,"$32,511,623","$39,877,487","$34,502,132","$42,047,453","$21,000,000","$24,283,298","$22,680,000","$24,047,332","$24,360,000","$25,083,832"
17,Kyrie Irving,"$31,742,000","$38,933,497","$33,722,850","$41,097,748","$35,328,700","$40,852,255","$38,917,057","$41,263,288","$38,037,037","$39,167,268"
18,Khris Middleton,"$30,603,448","$37,536,994","$33,051,724","$40,279,853","$35,500,000","$41,050,337","$37,984,276","$40,274,272","$29,320,988","$30,192,230"
19,Paul Millsap,"$30,350,000","$37,226,124","$10,100,000","$12,308,783","$2,641,691","$3,054,712",,,,
